Afghanistan,note - the Ministry of Justice licensed 84 political parties as of December 2012
Macedonia,"Alliance for Positive Macedonia or APM [Ljupco ZIKOV] 
      
      Citizens Option for Macedonia or GROM [Stevco JAKIMOVSKI] 
      
      Democratic Party of Albanians or DPA [Menduh THACI] 
      
      Democratic Union for Integration or DUI [Ali AHMETI] 
      
      Dosoinstvo (Diginity) [Stojance ANGELOV] 
      
      Internal Macedonian Revolutionary Organization - Democratic Party for Macedonian National Unity or VMRO-DPMNE [Nikola GRUEVSKI] 
      
      Internal Macedonian Revolutionary Organization - People's Party or VMRO-NP [Ljubco GEORGIEVSKI] 
      
      National Democratic Revival or NDR [Rufi OSMANI] 
      
      Party for a European Future or PEI [Fijat CANOSKI] 
      
      Party for Democratic Prosperity [Abdyladi VEJSELI] 
      
      Social Democratic Union of Macedonia or SDSM [Zoran ZAEV]"
Madagascar,"AVANA Party [Jean-Louis ROBINSON] 
      
      Economic Liberalism and Democratic Action for National Recovery or LEADER/Fanilo [Manasse ESOAVELOMANDROSO] 
      
      Green Party or Parti Vert [Sarah Georget RABEHARISOA] 
      
      I Love Madagascar or TIM [Marc RAVALOMANANA] 
      
      Judged by Your Work or AVI [Norbert RATSIRAHONANA] 
      
      Malagasy Miara-Miainga or MMM [Hajo ANDRIANAINARIVELO] 
      
      Malagasy Tonga Saina or MTS [Roland RATSIRAKA] 
      
      Movement for Democracy in Madagascar or MDM [Pierrot RAJAONARIVELO] 
      
      New Force for Madagascar of FIDIO [Hery RAJAONARIMAMPIANINA] 
      
      Renewal of the Social Democratic Party or RPSD [Evariste MARSON] 
      
      Socialist and Democratic Party for the Unity of Madagascar or PSDUM [Jean LAHINIRIKO] 
      
      Union Party or Tambatra [Pety RAKOTONIAINA] 
      
      Young Malagasies Determined or TGV [Andry RAJOELINA]"
Malawi,"Alliance for Democracy or AFORD [Godfrey SHAWA] 
      
      Chipani Cha Fuko or CCP [Davis KATSONGA PHIRI] 
      
      Christian Liberation Party or CONU [Sylvester CHABUKA] 
      
      Democratic Progressive Party or DPP [Peter MUTHARIKA] 
      
      Malawi Congress Party or MCP [Lazarus CHAKWERA] 
      
      Malawi Democratic Party or MDP [Kampelo KALUA] 
      
      Malawi Forum for Unity and Development or MAFUNDE [George MNESA] 
      
      National Rainbow Coalition or NARC [Loveness GONDWE] 
      
      National Salvation Front or NASAF [James NYONDO] 
      
      Nthanda Congress Party or NCP [Dr. Chakhumbila KHAILA] 
      
      New Labour Party or NLP [Friday JUMBE] 
      
      New Republican Party [Gwanda CHAKUWAMBA] 
      
      People's Party or PP [Joyce BANDA] 
      
      People's Progressive Movement or PPM [Mark Katsonga PHIRI] 
      
      People's Transformation Movement or PETRA [Kamuzu CHIBAMBO] 
      
      Umodzi Party or UP [John CHISI] 
      
      United Democratic Front or UDF [Atupele MULUZI] 
      
      United Independent Party or UIP [Helen SINGH]"
Malaysia,"National Front (Barisan Nasional) or BN (ruling coalition) consists of the following parties:  
      
      Gerakan Rakyat Malaysia Party or GERAKAN [KOH Tsu Koon] 
      
      Liberal Democratic Party (Parti Liberal Demokratik - Sabah) or LDP [LIEW Vui Keong] 
      
      Malaysian Chinese Association (Persatuan China Malaysia) or MCA [CHUA Soi Lek] 
      
      Malaysian Indian Congress (Kongres India Malaysia) or MIC [Govindasamy PALANIVEL] 
      
      Parti Bersatu Rakyat Sabah or PBRS [Joseph KURUP] 
      
      Parti Bersatu Sabah or PBS [Joseph PAIRIN Kitingan] 
      
      Parti Pesaka Bumiputera Bersatu or PBB [Abdul TAIB Mahmud] 
      
      Parti Rakyat Sarawak or PRS [James MASING] 
      
      Sarawak Progressive Democratic Party or SPDP [Tan Sri William MAKAN Ikom] 
      
      Sarawak United People's Party (Parti Bersatu Rakyat Sarawak) or SUPP [Peter CHIN Fah Kui] 
      
      United Malays National Organization or UMNO [NAJIB bin Abdul Razak] 
      
      United Pasokmomogun Kadazandusun Murut Organization (Pertubuhan Pasko Momogun Kadazan Dusun Bersatu) or UPKO [Bernard DOMPOK] 
      
      People's Progressive Party (Parti Progresif Penduduk Malaysia) or PPP [M.Kayveas] 
      
      
      
      
        People's Alliance (Pakatan Rakyat) or PR (opposition coalition) consists of the following parties: 
      
      Democratic Action Party (Parti Tindakan Demokratik) or DAP [KARPAL Singh] 
      
      Islamic Party of Malaysia (Parti Islam se Malaysia) or PAS [Abdul HADI Awang 
      
      People's Justice Party (Parti Keadilan Rakyat) or PKR [WAN AZIZAH Wan Ismail] 
      
      Sarawak National Party or SNAP [Edwin DUNDANG] 
      
      
      
      
        notable independent parties: 
      
      Sabah Progressive Party (Parti Progresif Sabah) or SAPP [YONG Teck Lee] 
      
      State Reform Pary (Parti Reformasi Negeri) or STAR [Jeffery KITINGAN]"
Maldives,"note: political parties with an asterisk were dissolved on 7 February 2014 by the Elections Commission under the Political Parties Act, which requires a minimum membership; the status of these parties is unresolved, as the Supreme Court later ruled the dissolution invalid 
      
      
      
      Adhaalath (Justice) Party or AP [Sheikh Imran ABDULLA] 
      
      Dhivehi Qaumee Party or DQP [Hassan SAEED]* 
      
      Dhivehi Rayyithunge Party (Maldivian People's Party) or DRP 
      
      Gaumee Itthihaad Party (National Unity Party) or GIP [Mohamed WAHEED] 
      
      Islamic Democratic Party or IDP* 
      
      Maldives Development Alliance or MDA [Ahmed SIYAM] 
      
      Maldives National Congress or MNC [Ali AMJAD]* 
      
      Maldives Reform Movement or MRM [Mohamed MUNAWWAR] 
      
      Maldivian Democratic Party or MDP [Reeko Moosa MANIKU] 
      
      Maldivian Labor Party or MLP [Ahmed MOOSA]* 
      
      Maldivian Social Democratic Party or MSDP [Reeko Ibrahim MANIKU]* 
      
      Meedhu Dhaaira 
      
      People's Alliance or PA [Moosa ZAMEERI]* 
      
      People's Party or PP [Ahmed RIYAZ]* 
      
      Poverty Alleviation Party or PAP 
      
      Progressive Party of Maldives or PPM [Maumoon Abdul GAYOOM] 
      
      Republican (Jumhooree) Party or JP [Qasim IBRAHIM] 
      
      Social Liberal Party or SLP [Mazian RASHEED]*"
Mali,"African Solidarity for Democracy and Independence or SADI [Oumar MARIKO, secretary general] 
      
      Alliance for Democracy or ADEMA [Dionconda TRAORE] 
      
      Alliance for Democracy and Progress or ADP (a coalition of political parties including ADEMA and URD formed in December 2006 to support the presidential candidacy of Amadou TOURE) 
      
      Alliance for Democratic Change (political group comprised mainly of Tuareg from Mali's northern region) 
      
      Alliance for the Solidarity of Mali-Convergence of Patriotic Forces or ASMA-CFP [Soumeylou Boubeye MAIGA] 
      
      Alternative Forces for Renewal and Emergence or FARE [Modibo SIDIBE] 
      
      Convergence for the development of Mali or CODEM [Housseyni GUINDO] 
      
      Economic and Social Development Party or PDES [Jamille BITTAR] 
      
      Front for Democracy and the Republic or FDR (a coalition of political parties including RPM and PARENA formed to oppose the presidential candidacy of Amadou TOURE) 
      
      Movement for a Common Destiny or MODEC [Koniba SIDIBE] 
      
      National Congress for Democratic Initiative or CNID [Mountaga TALL] 
      
      Party for Democracy and Progress or PDP [Mady KONATE] 
      
      Party for National Renewal or PARENA [Tiebile DRAME] 
      
      Patriotic Movement for Renewal or MPR [Choguel Kokalla MAIGA] 
      
      Rally for Democracy and Labor or RDT [Amadou Ali NIANGADOU] 
      
      Rally for Mali or RPM [Ibrahim Boubacar KEITA] 
      
      Sudanese Union/African Democratic Rally or US/RDA [Mamadou Bamou TOURE] 
      
      Union for Democracy and Development or UDD [Tieman Hubert COULIBALY] 
      
      Union for Republic and Democracy or URD [Younoussi TOURE] 
      
      Yelema [Moussa Mara]"
Malta,"Alternativa Demokratika/Alliance for Social Justice or AD (Green Party) [Arnold CASSOLA] 
      
      Labor Party or PL [Joseph MUSCAT] 
      
      Nationalist Party or PN [Simon BUSUTTIL]"
Marshall Islands,"traditionally there have been no formally organized political parties; what has existed more closely resembles factions or interest groups because they do not have party headquarters, formal platforms, or party structures; the following two ""groupings"" have competed in legislative balloting in recent years - Aelon Kein Ad Party [Michael KABUA] and United Democratic Party or UDP [Litokwa TOMEING]"
Mauritania,"Alliance for Justice and Democracy/Movement for Renewal or AJD/MR [Ibrahima Moctar SARR] 
      
      Alternative or El-Badil [Mohamed Yahdhi Ould MOCTAR HACEN] 
      
      Coalition of Majority Parties or CPM (parties supporting the regime including PRDR, UPR, UDP, RD, HATEM-PMUC, UCD) 
      
      Coalition for Pacific Alternation or CAP (coalition of opposition parties, including APP, El Wiam, and Sawab) 
      
      Coordination of Democratic Opposition or COD [Ahmed Ould DADDAH] (coalition of 11 opposition political parties including RNRD-TAWASSOUL, RFD, UFP, PNDD-ADIL, Alternative or El-Badil) 
      
      Democratic Renewal or RD [Moustapha Ould ABDEIDARRAHMANE] 
      
      El Karama Party [Cheikhna Ould Mohamed Ould HAJBOU] 
      
      El Vadila Party [Ethmane Ould Ahmed ABOULMAALY] 
      
      El Wiam [Boidiel Ould HOUMEIT] 
      
      Mauritanian Party for Unity and Change or HATEM-PMUC [Saleh Ould HANENA] 
      
      National Pact for Democracy and Development or PNDD-ADIL [Yahya Ould Ahmed El WAGHEF] (independents formerly supporting President Abdellahi) 
      
      National Rally for Freedom, Democracy and Equality or RNLDE 
      
      National Rally for Reform and Development or RNRD-TAWASSOUL [Mohamed Jamil MANSOUR] (moderate Islamists) 
      
      Party of Unity and Development or PUD [Mohamed BARO] 
      
      Popular Progressive Alliance or APP [Messaoud Ould BOULKHEIR] 
      
      Popular Front or FP [Mohamed Lemine Ch'bih Ould CHEIKH MALAININE] 
      
      Rally of Democratic Forces or RFD [Ahmed Ould DADDAH] 
      
      Ravah Party 
      
      Republican Party for Democracy and Renewal or PRDR [Mintata Mint HIDEID] 
      
      Sawab [Abdel Salem Ould HORMA] 
      
      Socialist and Democratic Unity Party or PUDS [Mahfouz Weld AZIZ] 
      
      Surge of Youth for the Nation [Lalla CHERIVA] 
      
      Union for Democracy and Progress or UDP [Naha Mint MOUKNASS] 
      
      Union for the Republic or UPR [Mohamed Mahmoud Ould Mohamed LEMINE] 
      
      Union of Democratic Center or UCD [Cheikh Sid'Ahmed Ould BABA] 
      
      Union of the Forces for Progress or UFP [Mohamed Ould MAOULOUD]"
Mauritius,"Alliance of the Future (l'Alliance de l'Avenir) or AF [Navinchandra RAMGOOLAM] (governing coalition - includes PTR-PMSD-MSM) 
      
      Alliance of the Heart (l'Alliance du Coeur) or AC [Paul BERENGER] (coalition includes - MMM, UN, MMSD) 
      
      Labor Party (Parti Travailliste) or PTR [Navinchandra RAMGOOLAM] 
      
      Mauritian Militant Movement (Mouvement Militant Mauricien) or MMM [Paul BERENGER] 
      
      Militant Socialist Movement (Mouvement Socialist Mauricien) or MSM [Pravind JUGNAUTH] 
      
      Maurition Social Democratic Party (Parti Mauricien Social Democrate) or PMSD [Xavier Luc DUVAL] 
      
      Mauritian Solidarity Front (Front Solidarite Mauricienne) or FSM [Cehl FAKEERMEEAH] 
      
      Mauritian Social Democratic Movement (Mouvement Mauricien Social Democrate) or MMSD [Eric GUIMBEAU] 
      
      Mauritian Militant Socialist Movement (Mouvement Militant Socialiste Mauricienne) or MMSM [Madan DULLOO] 
      
      National Union (Union Nationale) or UN [Ashok JUGNAUTH] 
      
      Rodrigues Movement (Mouvement Rodriguais) or MR [Joseph (Nicholas) Von MALLY] 
      
      Rodrigues Peoples Organization (Organisation du Peuple Rodriguais) or OPR [Serge CLAIR]"
Mexico,"Citizen's Movement (Movimiento Ciudadano) [Dante DELGADO Rannaoro] 
      
      Institutional Revolutionary Party (Partido Revolucionario Institucional) or PRI [Cesar CAMACHO Quiroz] 
      
      Labor Party (Partido del Trabajo) or PT [Alberto ANAYA Gutierrez] 
      
      Mexican Green Ecological Party (Partido Verde Ecologista de Mexico) or PVEM [vacant] 
      
      National Action Party (Partido Accion Nacional) or PAN [Gustavo MADERO Munoz] 
      
      New Alliance Party (Partido Nueva Alianza) or PNA/PANAL [Luis CASTRO Obregon] 
      
      Party of the Democratic Revolution (Partido de la Revolucion Democratica) or PRD [Jesus ZAMBRANO Grijalva]"
"Micronesia, Federated States of",no formal parties
Moldova,"represented in Parliament:  
      
      Communist Party of the Republic of Moldova or PCRM [Vladimir VORONIN] 
      
      Democratic Party or PD [Marian LUPU] 
      
      Liberal Democratic Party or PLDM [Vladimir FILAT] 
      
      Liberal Party or PL [Mihai GHIMPU] 
      
      Liberal Reformers Party or PLR [Ion HADARCA] 
      
      Pro-European Coalition (coalition of the PD, PLDM, and PLR) 
      
      
      
      
        not represented in Parliament: 
      
      Christian Democratic People's Party or PPCD [Iurie ROSCA] 
      
      Conservative Party or PC [Natalia NIRCA] 
      
      Ecological Party of Moldova ""Green Alliance"" or PEMAVE [Vladimir BRAGA] 
      
      European Action Movement or MAE [Veaceslav UNTILA] 
      
      For Nation and Country Party or PpNT [Sergiu MOCANU] 
      
      Humanist Party of Moldova or PUM [Valeriu PASAT] 
      
      Labor Party or PM [Gheorghe SIMA] 
      
      National Liberal Party or PNL [Vitalia PAVLICENKO] 
      
      Party of Socialists or PSRM [Igor DODON] 
      
      Patriots of Moldova Party or PPM [Mihail GARBUZ] 
      
      Popular Republican Party or PPR [Nicolae ANDRONIC] 
      
      Republican Party of Moldova or PRM [Andrei STRATAN] 
      
      Roma Social Political Movement of the Republic of Moldova or MRRM [Ion BUCUR] 
      
      Social Democratic Party or PSD [Victor SELIN] 
      
      Social Political Movement ""Equality"" or MR [Valeriy KLIMENCO] 
      
      United Moldova Party or PMUEM [Vladimir TURCAN]"
Monaco,"Horizon Monaco [Laurent NOUVION] 
      
      Renaissance [SBM (public corporation)] 
      
      Union Monegasque [Stephane VALERI]"
Mongolia,"Civil Will-Green Party or CWGP [Sanjaasuren OYUN] 
      
      Democratic Party or DP [Norov ALTANHUYAG] 
      
      Justice Coalition (includes MPRP and MNDP) 
      
      Mongolian National Democratic Party or MNDP [Mendsaikhan ENKHSAIKHAN] 
      
      Mongolian People's Party or MPP [Miyegombo ENKHBOLD] 
      
      Mongolian People's Revolutionary Party or MPRP [Nambar ENKHBAYAR]"
Montenegro,"Albanian Coalition (includes Democratic League in Montenegro or DSCG [Mehmed BARDHI], Democratic Party [Fatmir DJEKA], and Albanian Alternative or AA [Djerdj DAMAJ]) 
      
      Bosniak Party or BS [Rafet HUSOVIC] 
      
      Coalition for European Montenegro (bloc) [Milo DJUKANOVIC] (includes Democratic Party of Socialists or DPS [Milo DJUKANOVIC], Liberal Party of Montenegro or LP [Andrija POPOCVIC], and the Social Democratic Party or SDP [Ranko KRIVOKAPIC]) 
      
      Coalition FORCA for Unity (includes FORCA [Nazif CUNGU] and Civic Initiative [Vaselj Sinistaj]) 
      
      Croatian Civic Initiative or HGI [Marija VUCINOVIC] 
      
      Democratic Center or DC [Goran BATRICEVIC] 
      
      Democratic Front (bloc) [Miodrag LEKIC] (includes New Serb Democracy or NOVA [Andrija MANDIC] and Movement for Change or PZP [Nebojsa MEDOJEVIC], a splinter faction of the Socialist People's Party or SNP) 
      
      Democratic Union of Albanians or DUA [Mehmet ZENKA] 
      
      Just Montenegro [Rade BOJOVIC] 
      
      Positive Montenegro [Darko PAJOVIC] 
      
      Serbian National Alliance (bloc)(includes Party of Serb Radicals or SSR, Democratic Serb Party or DSS [Ranko KADIC], and the Serbian National Council) 
      
      Serbian Unity (bloc) (includes Serbian People's Party or NS [Predrag POPOVIC], the Serb List or SL, the Serbian Homeland Party, the Serbian Radical Party, and the Democratic Centre of Boka or DCB [Dejan COROVIC]) 
      
      Socialist People's Party or SNP [Srdan MILIC] 
      
      Together (bloc) (includes Pensioners' Party [Vojo VULETIC], Disabled and Social Justice, and the Yugoslav Communist Party of Montenegro or JKPCG)"
Montserrat,"Montserrat Democratic Party or MDP [Lowell LEWIS] 
      
      Movement for Change and Prosperity or MCAP [Roselyn CASSELL-SEALY] 
      
      New People's Liberation Movement or NPLM [John A. OSBORNE]"
Morocco,"Action Party or PA [Mohammed EL IDRISSI] 
      
      Al Ahd (The Covenant) Party [Najib EL OUAZZANI] 
      
      Alliance des Libert'es (Alliance of Liberties) or ADL [Ali BELHAJ] 
      
      An-Nahj Ad-Dimocrati or An-Nahj [Abdellah EL HARIF] 
      
      Authenticity and Modernity Party or PAM [Mustapha BAKKOURY, secretary general] 
      
      Choura et Istiqlal (Consultation and Independence) Party or PCI [Abdelwahed MAACH] 
      
      Citizens' Forces or FC [Abderrahman LAHJOUJI] 
      
      Citizenship and Development Initiative or ICD [Mohamed BENHAMOU] 
      
      Constitutional Union Party or UC [Mohammed ABIED] 
      
      Democratic and Social Movement or MDS [Mahmoud ARCHANE] 
      
      Democratic Forces Front or FFD [Touhami EL KHIARI] 
      
      Democratic Socialist Vanguard Party or PADS [Ahmed BENJELLOUN] 
      
      Democratic Society Party or PSD [Zhor CHEKKAFI] 
      
      Democratic Union or UD [Bouazza IKKEN] 
      
      Environment and Development Party or PED [Ahmed EL ALAMI] 
      
      Istiqlal (Independence) Party or PI [Hamid CHABAT] 
      
      
      
      Labor Party or LP [Abdelkrim BENATIK] 
      
      Moroccan Liberal Party or PML [Mohamed ZIANE] 
      
      National Democratic Party or PND [Abdallah KADIRI] 
      
      National Ittihadi Congress Party or CNI [Abdelmajid BOUZOUBAA] 
      
      National Popular Movement or MNP [Mahjoubi AHERDANE] 
      
      National Rally of Independents or RNI [Salaheddine MEZOUAR] 
      
      National Union of Popular Forces or UNFP [Abdellah IBRAHIM] 
      
      Party of Justice and Development or PJD [Abdelillah BENKIRANE]; Popular Movement or MP [Mohamed LAENSER] 
      
      Progress and Socialism Party or PPS [Nabil BENABDELLAH] 
      
      Reform and Development Party or PRD [Abderrahmane EL KOUHEN] 
      
      Renaissance and Virtue Party or PRV [Mohamed KHALIDI] 
      
      Renewal and Equity Party or PRE [Chakir ACHABAR] 
      
      Social Center Party or PSC [Lahcen MADIH] 
      
      Socialist Democratic Party or PSD [Aissa OUARDIGHI] 
      
      Socialist Union of Popular Forces or USFP [Driss LACHGAR] 
      
      Unified Socialist Left Party or PGSU [Mohamed Ben Said AIT IDDER]"
Mozambique,"Democratic Movement of Mozambique (Movimento Democratico de Mocambique) or MDM [Daviz SIMANGO] 
      
      Front for the Liberation of Mozambique (Frente de Liberatacao de Mocambique) or FRELIMO [Armando Emilio GUEBUZA] 
      
      Mozambique National Resistance (Resistencia Nacional Mocambicana) or RENAMO [Afonso DHLAKAMA]"
Namibia,"All People's Party or APP [Ignatius SHIXWAMENI] 
      
      Congress of Democrats or COD [Benjamin ULENGA] 
      
      Democratic Turnhalle Alliance of Namibia or DTA [McHenry VENAANI] 
      
      Monitor Action Group or MAG [Jurgie VILJOEN] 
      
      National Unity Democratic Organization or NUDO [Kuaima RIRUAKO] 
      
      Rally for Democracy and Progress or RDP [Hidipo HAMUTENYA] 
      
      Republican Party or RP [Henk MUDGE] 
      
      South West Africa National Union or SWANU [Usutuaije MAAMBERUA] 
      
      South West Africa People's Organization or SWAPO [Hifikepunye POHAMBA] 
      
      United Democratic Front or UDF [Justus //GAROEB]"
Nauru,"Democratic Party [Kennan ADEANG] 
      
      Nauru First (Naoero Amo) Party 
      
      Nauru Party (informal) 
      
      
      
      
        note: loose multiparty system"
Nepal,"note: 120 political parties participated in the 19 November 2013 election and the 30 parties listed below were elected to serve in the Constituent Assembly 
      
      
      
      Akhanda Nepal Party [Kumar KHADKA] 
      
      Communist Party of Nepal-Marxist Leninist [C.P. MAINALI] 
      
      Communist Party of Nepal-Unified Marxist-Leninist or UML [Jhalanath KHANAL] 
      
      Communist Party of Nepal (United) [Chandra Dev JOSHI] 
      
      Dalit Janajati Party [Bishwendra PASHWAN] 
      
      Federal Socialist Party [Ashok RAI] 
      
      Jana Jagaran Party Nepal [Lok Mani DHAKAL] 
      
      Khambuwan Rastriya Morcha-Nepal [Ram Kumar RAI] 
      
      Madhesi People's Rights Forum-Democratic [Bijay Kumar GACHCHADAR] 
      
      Madhesi People's Rights Forum-Nepal [Upendra YADAV] 
      
      Madhesi People's Rights Forum-Republican [Raj Kishore YADAV] 
      
      Madhes Samata Party Nepal [Meghraj SAHANI] 
      
      National Madhes Socialist Party [Sharat Singh BHANDARI] 
      
      Nepal Pariwar Dal [Ek Nath DHAKAL] 
      
      Nepal Workers and Peasants Party [Narayan Man BIJUKCHHE] 
      
      Nepali Congress [Sushil KOIRALA] 
      
      Nepali Janata Dal [Hari Charan SAH] 
      
      Nepa Rastriya Party [Keshav Man SHAKYA] 
      
      Rastriya Janamorcha Nepal [Chitra Bahadur K.C.] 
      
      Rastriya Janamukti Party [Malwar Singh THAPA] 
      
      Rastriya Prajatantra Party [Surya Bahadur THAPA] 
      
      Rastriya Prajatantra Party-Nepal [Kamal THAPA] 
      
      Sadbhavana Party [Rajendra MAHATO] 
      
      Samajbadi Janata Party Nepal [Prem Bahadur SINGH] 
      
      Sanghiya Sadbhavana Party [Anil JHA] 
      
      Sanghiye Lokatantrik Rastriya Manch [Rukmini CHAUDARY] 
      
      Terai Madhes Democratic Party [Mahantha THAKUR] 
      
      Terai Madhes Sadbhavana Party-Nepal [Mahendra YADAV] 
      
      Tharuhat Terai Party Nepal [Bhanuram CHAUDARY] 
      
      Unified Communist Party of Nepal (Maoist) or UCPN(M) [Pushpa Kamal DAHAL, also known as PRACHANDA]"
Netherlands,"Christian Democratic Appeal or CDA [Sybrand VAN HAERSMA BUMA] 
      
      Christian Union or CU [Arie SLOB] 
      
      Democrats 66 or D66 [Alexander PECHTOLD] 
      
      Green Left or GL [Bram VAN OJIK] 
      
      Labor Party or PvdA [Diederik SAMSOM] 
      
      Party for Freedom or PVV [Geert WILDERS] 
      
      Party for the Animals or PvdD [Marianne THIEME] 
      
      People's Party for Freedom and Democracy or VVD [Mark RUTTE] 
      
      Reformed Political Party or SGP [Kees VAN DER STAAIJ] 
      
      Socialist Party or SP [Emile ROEMER] 
      
      plus a few minor parties"
New Caledonia,"Build Our Rainbow Nation 
      
      Caledonia Together [Philippe GOMES] 
      
      Caledonian Union or UC [Daniel GOA] 
      
      Front National or FN [Marine LE PEN] 
      
      Future Together (l'Avenir Ensemble) [Harold MARTIN] 
      
      Kanak Socialist Front for National Liberation or FLNKS (includes PALIKA, UNI, UC, and UPM) 
      
      Labor Party (Labor Party) [Louis Kotra UREGEI] 
      
      National Union for Independence (Union Nationale pour l'Independance) or UNI 
      
      Parti de Liberation Kanak or PALIKA [Paul NEAOUTYINE] 
      
      Progressive Melanesian Union (Union Progressiste Mellanesienne) or UPM 
      
      Socialist Group [Jean Pierre BEL] 
      
      Socialist Kanak Liberation or LKS [Nidoish NAISSELINE] 
      
      The Future Together or AE [Harold MARTIN] 
      
      The Rally or UMP [Pierre GROGIER] 
      
      Union for Caledonia in France 
      
      Union of Pro-Independence Co-operation Committees [Francois BURCK]"
New Zealand,"ACT New Zealand [Rodney HIDE] 
      
      Green Party [Russel NORMAN and Metiria TUREI] 
      
      Mana Party [Hone HARAWIRA] 
      
      Maori Party [Tariana TURIA and Dr. Pita SHARPLES] 
      
      New Zealand National Party [John KEY] 
      
      New Zealand First Party or NZ First [Winston PETERS] 
      
      New Zealand Labor Party [Phil GOFF] 
      
      Jim Anderton's Progressive Party [James (Jim) ANDERTON] 
      
      United Future New Zealand [Peter DUNNE]"
Nicaragua,"Alliance for the Republic or APRE [Carlos CANALES] 
      
      Conservative Party or PC [Alejandro BOLANOS Davis] 
      
      Independent Liberal Party or PLI [Indalecio RODRIGUEZ] 
      
      Liberal Constitutionalist Party or PLC [Maria Haydee OSUNA] 
      
      Nicaraguan Liberal Alliance or ALN [Alejandro MEJIA Ferreti] 
      
      Sandinista National Liberation Front or FSLN [Jose Daniel ORTEGA Saavedra] 
      
      Sandinista Renovation Movement or MRS [Ana Margarita VIJIL]"
Niger,"Democratic and Social Convention-Rahama or CDS-Rahama [Mahamane OUSMANE] 
      
      National Movement for a Society of Development-Nassara or MNSD-Nassara [Seini OUMAROU] 
      
      National Union of Independents or UNI [Amadou DJIBO ALI] 
      
      Nigerien Alliance for Democracy and Progress-Zaman Lahiya or ANDP-Zaman Lahiya [Moussa Moumouni DJERMAKOYE] 
      
      Nigerien Democratic Movement for an African Federation or MODEN/FA Lumana [Hama AMADOU] 
      
      Nigerien Party for Democracy and Socialism or PNDS-Tarrayya [Mohamed BAZOUM] 
      
      Rally for Democracy and Progress-Jama'a or RDP-Jama'a [Hamid ALGABID] 
      
      Social and Democratic Rally or RSD-Gaskiyya [Cheiffou AMADOU] 
      
      Union for Democracy and the Republic-Tabbat or UDR-Tabbat [Amadou Boubacar CISSE] 
      
      note: the SPLM and SPLM-DC are banned political parties"
Nigeria,"Accord Party or ACC [Mohammad Lawal MALADO] 
      
      Action Congress of Nigeria or ACN [Adebisi Bamidele AKANDE] 
      
      All Nigeria Peoples Party or ANPP [Ogbonnaya C. ONU] 
      
      All Progressives Congress [Adebisi Bamidele AKANDE, acting] 
      
      All Progressives Grand Alliance or APGA [Victor C. UMEH] 
      
      Congress for Progressive Change or CPC [Tony MOMOH] 
      
      Democratic Peoples Party or DPP [Biodun OGUNBIYI] 
      
      Labor Party [Chief Dan NWANYANWU] 
      
      Peoples Democratic Party or PDP [Adamu MU'AZU]"
Niue,"Alliance of Independents or AI 
      
      Niue People's Action Party or NPP [Young VIVIAN]"
Norfolk Island,"Norfolk Island Labor Party [Mike KELLY] 
      
      Norfolk Liberals [John BROWN]"
Northern Mariana Islands,"Covenant Party [Benigno R. FITIAL] 
      
      Democratic Party [Dr. Carlos S. CAMACHO] 
      
      Republican Party [Juan S. REYES]"
Norway,"Center Party or Sp [Liv Signe NAVARSETE] 
      
      Christian Democratic Party or KrF [Knut Arild HAREIDE] 
      
      Conservative Party or H [Erna SOLBERG] 
      
      Labor Party or Ap [Jens STOLTENBERG] 
      
      Liberal Party or V [Trine SKEI-GRANDE] 
      
      Progress Party or FrP [Siv JENSEN] 
      
      Socialist Left Party or SV [Audun LYSBAKKEN]"
Oman,political parties are illegal
Pakistan,"Awami National Party or ANP [Asfandyar Wali KHAN] 
      
      Balochistan National Party-Awami or BNP-A 
      
      Balochistan National Party-Hayee Group or BNP-H [Dr. Hayee BALOCH] 
      
      Balochistan National Party-Mengal or BNP-M 
      
      Jamaat-i Islami or JI [Syed Munawar HASAN] 
      
      Jamhoori Watan Party or JWP 
      
      Jamiat Ahle Hadith or JAH [Sajid MIR] 
      
      Jamiat-i Ulema-i Islam Fazl-ur Rehman or JUI-F [Fazl-ur REHMAN] 
      
      Jamiat-i Ulema-i Islam Sami-ul HAQ or JUI-S [Sami ul-HAQ] 
      
      Jamiat-i Ulema-i Pakistan or JUP [Abul Khair ZUBAIR] 
      
      Millat-e-Jafferia [Allama Sajid NAQVI] 
      
      Muttahida Qaumi Movement or MQM [Altaf HUSSAIN] 
      
      National Peoples Party or NPP 
      
      Pakhtun-khwa Milli Awami Party or PKMAP [Mahmood Khan ACHAKZAI] 
      
      Pakistan Awami Tehrik or PAT [Tahir ul QADRI] 
      
      Pakistan Muslim League-Quaid-i Azam or PML-Q [Chaudhry Shujaat HUSSAIN] 
      
      Pakistan Muslim League-Functional or PML-F [Pir PAGARO] 
      
      Pakistan Muslim League-Nawaz or PML-N [Nawaz SHARIF] 
      
      Pakistan Peoples Party Parliamentarians or PPPP [Bilawal Bhutto ZARDARI, chairman; Asif Ali ZARDARI, co-chairman] 
      
      Pakistan Peoples Party-S [Aftab Ahmad SHERPAO] 
      
      Quami Watan Party or QWP [Aftab Ahmed Khan SHERPAO] 
      
      Pakistan Tehrik-e Insaaf or PTI [Imran KHAN] 
      
      
      
      
        note: political alliances in Pakistan can shift frequently"
Palau,none
